CK     PC           IR
1  x"00400004"  x"FEDC0000"
2  x"00400008"  x"00001111"
3  x"0040000c"  x"00002222"
4  x"00400010"  x"00003333"
5  x"00400014"  x"00004444"
6  x"00400018"  x"14000002"
7  x"0040001c"  x"00006666"
8  x"00400024"  x"88888888"
9  x"00400024"  x"88888888"
10  x"00400024"  x"88888888"
11  x"00400028"  x"00009999"
12  x"0040002c"  x"0000AAAA"
13  x"00400030"  x"0000BBBB"
14  x"00400034"  x"0000CCCC"
15  x"00400038"  x"08100011"
16  x"0040003C"  x"0000EEEE"
17  x"00400048"  x"20001111"
18  x"0040004c"  x"20002222"
19  x"0040004c"  x"20002222"
20  x"00400050"  x"20003333"
21  x"00400054"  x"00000008"
22  x"00400058"  x"20005555"
23  x"00400008"  x"00001111"
24  x"0040000c"  x"00002222"
25  x"00400010"  x"00003333"
26  x"00400014"  x"00004444"
27  x"00400018"  x"14000002"
28  x"0040001c"  x"00006666"
29  x"00400024"  x"88888888"
30  x"00400028"  x"00009999"
31  x"0040002c"  x"0000AAAA"
32  x"00400030"  x"0000BBBB"
33  x"00400034"  x"0000CCCC"
34  x"00400038"  x"08100011"
35  x"0040003C"  x"0000EEEE"
36  x"00400048"  x"20001111"
37  x"0040004c"  x"20002222"
38  x"00400050"  x"20003333"
39  x"00400054"  x"00000008"
40  x"00400058"  x"20005555"
41  x"00400008"  x"00001111"
42  x"0040000c"  x"00002222"
43  x"00400010"  x"00003333"
44  x"00400014"  x"00004444"
45  x"00400018"  x"14000002"
46  x"0040001c"  x"00006666"
47  x"00400024"  x"88888888"
48  x"00400028"  x"00009999"
49  x"0040002c"  x"0000AAAA"
50  x"00400030"  x"0000BBBB"
51  x"00400034"  x"0000CCCC"
52  x"00400038"  x"08100011"
53  x"0040003C"  x"0000EEEE"
54  x"00400048"  x"20001111"
55  x"0040004c"  x"20002222"
56  x"00400050"  x"20003333"
57  x"00400054"  x"00000008"
58  x"00400058"  x"20005555"
59  x"00400008"  x"00001111"
