CK   PC+4_pID     IR_reg    sext_imm  Rs,Rt,Rd,Funct RegWrite,RsEqRt ALUsrcB,ALUOP  A_reg      B_reg    sext_imm_reg  ALU_output   ALUout_reg  B_reg_pMEM  MEMwr,Mem2reg,   MDR_reg  ALUout_reg_pWB GPR_wr_data
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4     Funct_pEX      rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11  RegWr,Rd[MEM&WB]  rdbk13      rdbk14       rdbk15      
1  x"00000000" x"20017FFF" x"00007FFF" x"00010F3F"     x"10000001" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000
2  x"00400004" x"20017FFF" x"00007FFF" x"00010F3F"     x"10000001" x"1000003F" x"00000000" x"00000000"     x"00007FFF" x"00007FFF" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000
3  x"00400008" x"20027FFE" x"00007FFE" x"00020F3E"     x"10000001" x"1000003F" x"00000000" x"00000000"     x"00007FFF" x"00007FFF" x"00007FFF" x"00000000"     x"01010000" x"00000000" x"00000000" x"00000000
4  x"0040000C" x"00000000" x"00000000" x"00000000"     x"10000001" x"1000003E" x"00000000" x"00000000"     x"00007FFE" x"00007FFE" x"00007FFF" x"00000000"     x"01010101" x"00000000" x"00007FFF" x"00007FFF
5  x"00400010" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00007FFE" x"00000000"     x"01020101" x"00000000" x"00007FFF" x"00007FFF
6  x"00400014" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000102" x"00000000" x"00007FFE" x"00007FFE
7  x"00400018" x"00221020" x"00001020" x"01020220"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
8  x"0040001C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000220" x"00007FFF" x"00007FFE"     x"00001020" x"0000FFFD" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
9  x"00400020" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"0000FFFD" x"00007FFE"     x"01020100" x"00000000" x"00000000" x"00000000
10  x"00400024" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000102" x"00000000" x"0000FFFD" x"0000FFFD
