CK   PC+4_pID     IR_reg    sext_imm  Rs,Rt,Rd,Funct  RegWrite,RsEqRt GPRrddata1 GPRrddata2  ALUsrcB_pEX      A_reg      B_reg    sext_imm_reg ALU_output      ALUout_reg  RD,RegWrite_pWB
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4       rdbk5       rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11         rdbk12       rdbk13      rdbk14       rdbk15      
0  x"00000000" x"20010001" x"00000001" x"00010001"     x"10000001" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000"   
1  x"00400004" x"20010001" x"00000001" x"00010001"     x"10000001" x"00000000" x"00000000" x"10000001"     x"00000000" x"00000000" x"00000001" x"00000001"     x"00000000" x"00000000"   
2  x"00400008" x"20020002" x"00000002" x"00020002"     x"10000001" x"00000000" x"00000000" x"10000001"     x"00000000" x"00000000" x"00000001" x"00000001"     x"00000001" x"00010001"   
3  x"0040000C" x"20030003" x"00000003" x"00030003"     x"10000001" x"00000000" x"00000000" x"10000002"     x"00000000" x"00000000" x"00000002" x"00000002"     x"00000001" x"00010001"   
4  x"00400010" x"20040004" x"00000004" x"00040004"     x"10000001" x"00000000" x"00000000" x"10000003"     x"00000000" x"00000000" x"00000003" x"00000003"     x"00000002" x"00020001"   
5  x"00400014" x"20050005" x"00000005" x"00050005"     x"10000001" x"00000000" x"00000000" x"10000004"     x"00000000" x"00000000" x"00000004" x"00000004"     x"00000003" x"00030001"   
6  x"00400018" x"20060006" x"00000006" x"00060006"     x"10000001" x"00000000" x"00000000" x"10000005"     x"00000000" x"00000000" x"00000005" x"00000005"     x"00000004" x"00040001"   
7  x"0040001C" x"20070007" x"00000007" x"00070007"     x"10000001" x"00000000" x"00000000" x"10000006"     x"00000000" x"00000000" x"00000006" x"00000006"     x"00000005" x"00050001"   
8  x"00400020" x"20080008" x"00000008" x"00080008"     x"10000001" x"00000000" x"00000000" x"10000007"     x"00000000" x"00000000" x"00000007" x"00000007"     x"00000006" x"00060001"   
9  x"00400024" x"20090009" x"00000009" x"00090009"     x"10000001" x"00000000" x"00000000" x"10000008"     x"00000000" x"00000000" x"00000008" x"00000008"     x"00000007" x"00070001"   
10  x"00400028" x"200A000A" x"0000000A" x"000A000A"     x"10000001" x"00000000" x"00000000" x"10000009"     x"00000000" x"00000000" x"00000009" x"00000009"     x"00000008" x"00080001"   
11  x"0040002C" x"200B000B" x"0000000B" x"000B000B"     x"10000001" x"00000000" x"00000000" x"1000000A"     x"00000000" x"00000000" x"0000000A" x"0000000A"     x"00000009" x"00090001"   
12  x"00400030" x"200C000C" x"0000000C" x"000C000C"     x"10000001" x"00000000" x"00000000" x"1000000B"     x"00000000" x"00000000" x"0000000B" x"0000000B"     x"0000000A" x"000A0001"   
13  x"00400034" x"200D000D" x"0000000D" x"000D000D"     x"10000001" x"00000000" x"00000000" x"1000000C"     x"00000000" x"00000000" x"0000000C" x"0000000C"     x"0000000B" x"000B0001"   
14  x"00400038" x"200E000E" x"0000000E" x"000E000E"     x"10000001" x"00000000" x"00000000" x"1000000D"     x"00000000" x"00000000" x"0000000D" x"0000000D"     x"0000000C" x"000C0001"   
15  x"0040003C" x"200F000F" x"0000000F" x"000F000F"     x"10000001" x"00000000" x"00000000" x"1000000E"     x"00000000" x"00000000" x"0000000E" x"0000000E"     x"0000000D" x"000D0001"   
16  x"00400040" x"20100010" x"00000010" x"00100010"     x"10000001" x"00000000" x"00000000" x"1000000F"     x"00000000" x"00000000" x"0000000F" x"0000000F"     x"0000000E" x"000E0001"   
17  x"00400044" x"20110001" x"00000001" x"00110001"     x"10000001" x"00000000" x"00000000" x"10000010"     x"00000000" x"00000000" x"00000010" x"00000010"     x"0000000F" x"000F0001"   
18  x"00400048" x"20120002" x"00000002" x"00120002"     x"10000001" x"00000000" x"00000000" x"10000001"     x"00000000" x"00000000" x"00000001" x"00000001"     x"00000010" x"00100001"   
19  x"0040004C" x"20130004" x"00000004" x"00130004"     x"10000001" x"00000000" x"00000000" x"10000002"     x"00000000" x"00000000" x"00000002" x"00000002"     x"00000001" x"00110001"   
20  x"00400050" x"20140008" x"00000008" x"00140008"     x"10000001" x"00000000" x"00000000" x"10000004"     x"00000000" x"00000000" x"00000004" x"00000004"     x"00000002" x"00120001"   
21  x"00400054" x"20150010" x"00000010" x"00150010"     x"10000001" x"00000000" x"00000000" x"10000008"     x"00000000" x"00000000" x"00000008" x"00000008"     x"00000004" x"00130001"   
22  x"00400058" x"20160020" x"00000020" x"00160020"     x"10000001" x"00000000" x"00000000" x"10000010"     x"00000000" x"00000000" x"00000010" x"00000010"     x"00000008" x"00140001"   
23  x"0040005C" x"20170040" x"00000040" x"00170000"     x"10000001" x"00000000" x"00000000" x"10000020"     x"00000000" x"00000000" x"00000020" x"00000020"     x"00000010" x"00150001"   
24  x"00400060" x"20180080" x"00000080" x"00180000"     x"10000001" x"00000000" x"00000000" x"10000000"     x"00000000" x"00000000" x"00000040" x"00000040"     x"00000020" x"00160001"   
25  x"00400064" x"20190100" x"00000100" x"00190000"     x"10000001" x"00000000" x"00000000" x"10000000"     x"00000000" x"00000000" x"00000080" x"00000080"     x"00000040" x"00170001"   
26  x"00400068" x"201B0200" x"00000200" x"001B0000"     x"10000001" x"00000000" x"00000000" x"10000000"     x"00000000" x"00000000" x"00000100" x"00000100"     x"00000080" x"00180001"   
27  x"0040006C" x"201C0400" x"00000400" x"001C0000"     x"10000001" x"00000000" x"00000000" x"10000000"     x"00000000" x"00000000" x"00000200" x"00000200"     x"00000100" x"00190001"   
28  x"00400070" x"201D0800" x"00000800" x"001D0100"     x"10000001" x"00000000" x"00000000" x"10000000"     x"00000000" x"00000000" x"00000400" x"00000400"     x"00000200" x"001B0001"   
29  x"00400074" x"201E1000" x"00001000" x"001E0200"     x"10000001" x"00000000" x"00000000" x"10000000"     x"00000000" x"00000000" x"00000800" x"00000800"     x"00000400" x"001C0001"   
30  x"00400078" x"201F2000" x"00002000" x"001F0400"     x"10000001" x"00000000" x"00000000" x"10000000"     x"00000000" x"00000000" x"00001000" x"00001000"     x"00000800" x"001D0001"   
31  x"0040007C" x"02018020" x"FFFF8020" x"10011020"     x"10000000" x"00000010" x"00000001" x"10000000"     x"00000000" x"00000000" x"00002000" x"00002000"     x"00001000" x"001E0001"   
32  x"00400080" x"02028020" x"FFFF8020" x"10021020"     x"10000000" x"00000010" x"00000002" x"00000220"     x"00000010" x"00000001" x"FFFF8020" x"00000011"     x"00002000" x"001F0001"   
33  x"00400084" x"02038020" x"FFFF8020" x"10031020"     x"10000000" x"00000010" x"00000003" x"00000220"     x"00000010" x"00000002" x"FFFF8020" x"00000012"     x"00000011" x"00100001"   
34  x"00400088" x"02048020" x"FFFF8020" x"10041020"     x"10000000" x"00000011" x"00000004" x"00000220"     x"00000010" x"00000003" x"FFFF8020" x"00000013"     x"00000012" x"00100001"   
35  x"0040008C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000011" x"00000004" x"FFFF8020" x"00000015"     x"00000013" x"00100001"   
36  x"00400090" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000015" x"00100001"   
37  x"00400094" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
38  x"00400098" x"00220820" x"00000820" x"01020120"     x"10000000" x"00000001" x"00000002" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
39  x"0040009C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000001" x"00000002" x"00000820" x"00000003"     x"00000000" x"00000001"   
40  x"004000A0" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000003" x"00010001"   
41  x"004000A4" x"00230820" x"00000820" x"01030120"     x"10000001" x"00000003" x"00000003" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
42  x"004000A8" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000003" x"00000003" x"00000820" x"00000006"     x"00000000" x"00000001"   
43  x"004000AC" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000006" x"00010001"   
44  x"004000B0" x"00810820" x"00000820" x"04010120"     x"10000000" x"00000004" x"00000006" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
45  x"004000B4" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000004" x"00000006" x"00000820" x"0000000A"     x"00000000" x"00000001"   
46  x"004000B8" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"0000000A" x"00010001"   
47  x"004000BC" x"00A10820" x"00000820" x"05010120"     x"10000000" x"00000005" x"0000000A" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
48  x"004000C0" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000005" x"0000000A" x"00000820" x"0000000F"     x"00000000" x"00000001"   
49  x"004000C4" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"0000000F" x"00010001"   
50  x"004000C8" x"00260820" x"00000820" x"01060120"     x"10000000" x"0000000F" x"00000006" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
51  x"004000CC" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"0000000F" x"00000006" x"00000820" x"00000015"     x"00000000" x"00000001"   
52  x"004000D0" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000015" x"00010001"   
53  x"004000D4" x"00E83820" x"00003820" x"07080720"     x"10000000" x"00000007" x"00000008" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
54  x"004000D8" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000007" x"00000008" x"00003820" x"0000000F"     x"00000000" x"00000001"   
55  x"004000DC" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"0000000F" x"00070001"   
56  x"004000E0" x"00E90820" x"00000820" x"07090120"     x"10000000" x"0000000F" x"00000009" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
57  x"004000E4" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"0000000F" x"00000009" x"00000820" x"00000018"     x"00000000" x"00000001"   
58  x"004000E8" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000018" x"00010001"   
59  x"004000EC" x"002A0820" x"00000820" x"010A0120"     x"10000000" x"00000018" x"0000000A" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
60  x"004000F0" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000018" x"0000000A" x"00000820" x"00000022"     x"00000000" x"00000001"   
61  x"004000F4" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000022" x"00010001"   
62  x"004000F8" x"002B0820" x"00000820" x"010B0120"     x"10000000" x"00000022" x"0000000B" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
63  x"004000FC" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000022" x"0000000B" x"00000820" x"0000002D"     x"00000000" x"00000001"   
64  x"00400100" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"0000002D" x"00010001"   
65  x"00400104" x"002C0820" x"00000820" x"010C0120"     x"10000000" x"0000002D" x"0000000C" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
66  x"00400108" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"0000002D" x"0000000C" x"00000820" x"00000039"     x"00000000" x"00000001"   
67  x"0040010C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000039" x"00010001"   
68  x"00400110" x"002D0820" x"00000820" x"010D0120"     x"10000000" x"00000039" x"0000000D" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
69  x"00400114" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000039" x"0000000D" x"00000820" x"00000046"     x"00000000" x"00000001"   
70  x"00400118" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000046" x"00010001"   
71  x"0040011C" x"002E0820" x"00000820" x"010E0120"     x"10000000" x"00000046" x"0000000E" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
72  x"00400120" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000046" x"0000000E" x"00000820" x"00000054"     x"00000000" x"00000001"   
73  x"00400124" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000054" x"00010001"   
74  x"00400128" x"002F0820" x"00000820" x"010F0120"     x"10000000" x"00000054" x"0000000F" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
75  x"0040012C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000220"     x"00000054" x"0000000F" x"00000820" x"00000063"     x"00000000" x"00000001"   
76  x"00400130" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000063" x"00010001"   
77  x"00400134" x"00008020" x"FFFF8020" x"00001020"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
78  x"00400138" x"200F0003" x"00000003" x"000F0003"     x"10000000" x"00000000" x"0000000F" x"00000220"     x"00000000" x"00000000" x"FFFF8020" x"00000000"     x"00000000" x"00000001"   
